,hidden_dim1,hidden_dim2,hidden_dim3,lr,batch_size,epochs,accuracy
280,1024,128,128,0.001,128,50,0.635370671749115
281,1024,128,128,0.001,128,100,0.656983494758606
282,1024,128,128,0.001,128,250,0.6453636884689331
283,1024,128,128,0.001,128,500,0.6411805748939514
284,1024,128,128,0.001,512,50,0.6402509808540344
285,1024,128,128,0.001,512,100,0.651638388633728
286,1024,128,128,0.001,512,250,0.6453636884689331
287,1024,128,128,0.001,512,500,0.6479200720787048
288,1024,256,64,0.0001,32,50,0.5951661467552185
289,1024,256,64,0.0001,32,100,0.6337438821792603
290,1024,256,64,0.0001,32,250,0.6404833793640137
291,1024,256,64,0.0001,32,500,0.6349058747291565
292,1024,256,64,0.0001,64,50,0.5912154316902161
293,1024,256,64,0.0001,64,100,0.6297931671142578
294,1024,256,64,0.0001,64,250,0.6465256810188293
295,1024,256,64,0.0001,64,500,0.6407157778739929
296,1024,256,64,0.0001,128,50,0.5909830331802368
297,1024,256,64,0.0001,128,100,0.6316523551940918
298,1024,256,64,0.0001,128,250,0.6521031856536865
299,1024,256,64,0.0001,128,500,0.6444341540336609
300,1024,256,64,0.0001,512,50,0.5891239047050476
301,1024,256,64,0.0001,512,100,0.6349058747291565
302,1024,256,64,0.0001,512,250,0.6472228765487671
303,1024,256,64,0.0001,512,500,0.6435045599937439
304,1024,256,64,2e-05,32,50,0.5008134245872498
305,1024,256,64,2e-05,32,100,0.538926362991333
306,1024,256,64,2e-05,32,250,0.6253776550292969
307,1024,256,64,2e-05,32,500,0.6397861838340759
308,1024,256,64,2e-05,64,50,0.49267953634262085
309,1024,256,64,2e-05,64,100,0.5386939644813538
310,1024,256,64,2e-05,64,250,0.618173360824585
311,1024,256,64,2e-05,64,500,0.6400185823440552
312,1024,256,64,2e-05,128,50,0.45386940240859985
313,1024,256,64,2e-05,128,100,0.5321868658065796
314,1024,256,64,2e-05,128,250,0.616546630859375
315,1024,256,64,2e-05,128,500,0.638159453868866
316,1024,256,64,2e-05,512,50,0.451777845621109
317,1024,256,64,2e-05,512,100,0.5449686646461487
318,1024,256,64,2e-05,512,250,0.6198001503944397
319,1024,256,64,2e-05,512,500,0.6383918523788452
320,1024,256,64,0.001,32,50,0.6332791447639465
321,1024,256,64,0.001,32,100,0.6555891633033752
322,1024,256,64,0.001,32,250,0.6444341540336609
323,1024,256,64,0.001,32,500,0.6379270553588867
324,1024,256,64,0.001,64,50,0.6193353533744812
325,1024,256,64,0.001,64,100,0.6476876735687256
326,1024,256,64,0.001,64,250,0.6530327796936035
327,1024,256,64,0.001,64,500,0.6490820646286011
328,1024,256,64,0.001,128,50,0.6279340386390686
329,1024,256,64,0.001,128,100,0.6500116586685181
330,1024,256,64,0.001,128,250,0.6497792601585388
331,1024,256,64,0.001,128,500,0.6504763960838318
332,1024,256,64,0.001,512,50,0.6323495507240295
333,1024,256,64,0.001,512,100,0.6572158932685852
334,1024,256,64,0.001,512,250,0.6409481763839722
335,1024,256,64,0.001,512,500,0.6502440571784973
336,1024,256,128,0.0001,32,50,0.5865675210952759
337,1024,256,128,0.0001,32,100,0.6335115432739258
338,1024,256,128,0.0001,32,250,0.6474552750587463
339,1024,256,128,0.0001,32,500,0.6414129734039307
340,1024,256,128,0.0001,64,50,0.5914478302001953
341,1024,256,128,0.0001,64,100,0.6356030702590942
342,1024,256,128,0.0001,64,250,0.650708794593811
343,1024,256,128,0.0001,64,500,0.6479200720787048
344,1024,256,128,0.0001,128,50,0.5912154316902161
345,1024,256,128,0.0001,128,100,0.6369974613189697
346,1024,256,128,0.0001,128,250,0.6462932825088501
347,1024,256,128,0.0001,128,500,0.6388566493988037
348,1024,256,128,0.0001,512,50,0.5919126272201538
349,1024,256,128,0.0001,512,100,0.6349058747291565
350,1024,256,128,0.0001,512,250,0.6411805748939514
351,1024,256,128,0.0001,512,500,0.6414129734039307
352,1024,256,128,2e-05,32,50,0.4966302812099457
353,1024,256,128,2e-05,32,100,0.5489193797111511
354,1024,256,128,2e-05,32,250,0.6272368431091309
355,1024,256,128,2e-05,32,500,0.6455960869789124
356,1024,256,128,2e-05,64,50,0.49407389760017395
357,1024,256,128,2e-05,64,100,0.5393911600112915
358,1024,256,128,2e-05,64,250,0.6239832639694214
359,1024,256,128,2e-05,64,500,0.6411805748939514
360,1024,256,128,2e-05,128,50,0.5033697485923767
361,1024,256,128,2e-05,128,100,0.54148268699646
362,1024,256,128,2e-05,128,250,0.6221241354942322
363,1024,256,128,2e-05,128,500,0.6421101689338684
364,1024,256,128,2e-05,512,50,0.481059730052948
365,1024,256,128,2e-05,512,100,0.5452010035514832
366,1024,256,128,2e-05,512,250,0.6244480609893799
367,1024,256,128,2e-05,512,500,0.6411805748939514
368,1024,256,128,0.001,32,50,0.6428073644638062
369,1024,256,128,0.001,32,100,0.6383918523788452
370,1024,256,128,0.001,32,250,0.6435045599937439
371,1024,256,128,0.001,32,500,0.6437369585037231
372,1024,256,128,0.001,64,50,0.6397861838340759
373,1024,256,128,0.001,64,100,0.6093423366546631
374,1024,256,128,0.001,64,250,0.6490820646286011
375,1024,256,128,0.001,64,500,0.6474552750587463
376,1024,256,128,0.001,128,50,0.6395537853240967
377,1024,256,128,0.001,128,100,0.6346734762191772
378,1024,256,128,0.001,128,250,0.650708794593811
379,1024,256,128,0.001,128,500,0.6455960869789124
380,1024,256,128,0.001,512,50,0.6337438821792603
381,1024,256,128,0.001,512,100,0.6458284854888916
382,1024,256,128,0.001,512,250,0.6467580795288086
383,1024,256,128,0.001,512,500,0.6472228765487671
